School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,Mizoram,Total,5429,4628,5849,5969,5210,8099,8002,8716,8477,8310
Primary School,Mizoram,Male,NA,2417,3009,3015,2651,3888,3878,4228,4004,3953
Primary School,Mizoram,Female,NA,2211,2840,2954,2559,4211,4124,4488,4473,4357
Primary School,Nagaland,Total,6952,7011,7474,8127,7948,7948,7956,7956,7956,7956
Primary School,Nagaland,Male,NA,4335,4896,5159,4985,4985,4995,4995,4995,4995
Primary School,Nagaland,Female,NA,2676,2578,2968,2963,2963,2961,2961,2961,2961
Primary School,Odisha,Total,111040,85760,78182,99079,101199,123686,107571,117250,136064,136707
Primary School,Odisha,Male,NA,59130,54589,63709,65177,78677,66050,71592,78758,78529
Primary School,Odisha,Female,NA,26630,23593,35370,36022,45009,41521,45658,57306,58178
Primary School,Puducherry,Total,2356,1754,2876,2969,2853,2993,3143,1665,1696,1642
Primary School,Puducherry,Male,NA,745,784,783,707,678,658,559,548,531
Primary School,Puducherry,Female,NA,1009,2092,2186,2146,2315,2485,1106,1148,1111
Primary School,Punjab,Total,40981,41524,40805,38676,37028,38676,36327,54675,44292,49273
Primary School,Punjab,Male,NA,14913,15303,14771,13856,14469,13427,15573,15465,17624
Primary School,Punjab,Female,NA,26611,25502,23905,23172,24207,22900,39102,28827,31649
Primary School,Rajasthan,Total,100806,92714,120368,119969,121737,124670,123569,117566,113629,104873
Primary School,Rajasthan,Male,NA,63912,88457,86981,86697,87233,85668,80788,77978,72178
Primary School,Rajasthan,Female,NA,28802,31911,32988,35040,37437,37901,36778,35651,32695
Primary School,Sikkim,Total,3490,2746,5031,5121,5388,7908,6912,6305,7845,7845
Primary School,Sikkim,Male,NA,1703,2667,2559,2663,3512,3171,3246,3322,3322
Primary School,Sikkim,Female,NA,1043,2364,2562,2725,4396,3741,3059,4523,4523
Primary School,Tamil Nadu,Total,121483,123369,121236,119969,115568,114644,162792,127022,124657,85402
Primary School,Tamil Nadu,Male,NA,36324,44493,37390,53190,38221,42371,46615,34653,22279
Primary School,Tamil Nadu,Female,NA,87045,76743,82579,62378,76423,120421,80407,90004,63123
Primary School,Tripura,Total,13489,8951,14606,8036,12207,7805,7855,7800,7936,8560
Primary School,Tripura,Male,NA,7245,7501,6145,6027,6215,6196,6160,6209,6349
Primary School,Tripura,Female,NA,1706,7105,1891,6180,1590,1659,1640,1727,2211
Primary School,Uttar Pradesh,Total,293911,384605,395202,399457,412080,441032,331652,326240,354976,344826
Primary School,Uttar Pradesh,Male,NA,256786,263861,285888,294956,309439,190338,180656,188905,206896
Primary School,Uttar Pradesh,Female,NA,127819,131341,113569,117124,131593,141314,145584,166071,137930
Primary School,Uttarakhand,Total,29526,36923,40527,43715,46415,47888,48439,48455,46345,45784
Primary School,Uttarakhand,Male,NA,16141,19099,20741,21682,22150,22420,23555,21814,21286
Primary School,Uttarakhand,Female,NA,20782,21428,22974,24733,25738,26019,24900,24531,24498
Primary School,West Bengal,Total,151971,151255,157397,151665,149764,153515,152011,150032,236720,153571
Primary School,West Bengal,Male,NA,113473,117669,110096,109243,109840,108552,107166,128871,109035
Primary School,West Bengal,Female,NA,37782,39728,41569,40521,43675,43459,42866,107849,44536
Upper Primary School,India,Total,1467920,1581739,1592287,1589280,1684764,1717435,1780115,1898496,1777978,1887343
Upper Primary School,India,Male,NA,936468,943786,992407,991940,1039463,1063420,1109887,1013746,1048264
Upper Primary School,India,Female,NA,645271,648501,596873,692824,677972,716695,788609,764232,839079
Upper Primary School,Andaman and Nicobar Islands,Total,738,723,737,723,726,789,768,802,856,906
Upper Primary School,Andaman and Nicobar Islands,Male,NA,354,355,340,337,325,313,327,349,357
Upper Primary School,Andaman and Nicobar Islands,Female,NA,369,382,383,389,464,455,475,507,549
Upper Primary School,Andhra Pradesh,Total,85263,108222,100365,103985,106215,112388,110949,94662,90077,93003
Upper Primary School,Andhra Pradesh,Male,NA,63896,58075,60900,62034,64144,62735,53351,49570,50096
Upper Primary School,Andhra Pradesh,Female,NA,44326,42290,43085,44181,48244,48214,41311,40507,42907
Upper Primary School,Arunachal Pradesh,Total,2676,2864,2969,3069,3494,4165,4940,5191,5792,5805
Upper Primary School,Arunachal Pradesh,Male,NA,2080,2125,2164,2359,2884,3200,3355,3746,3737
Upper Primary School,Arunachal Pradesh,Female,NA,784,844,905,1135,1281,1740,1836,2046,2068
Upper Primary School,Assam,Total,57698,58703,73147,73062,69013,73914,100129,100129,81637,81637
Upper Primary School,Assam,Male,NA,46299,56321,55734,52622,54626,74000,74000,62096,62096
Upper Primary School,Assam,Female,NA,12404,16826,17328,16391,19288,26129,26129,19541,19541
Upper Primary School,Bihar,Total,60967,55734,56654,55741,58033,73458,101781,117992,124342,146645
Upper Primary School,Bihar,Male,NA,42608,44476,43550,44949,51724,66110,75767,78535,90501
Upper Primary School,Bihar,Female,NA,13126,12178,12191,13084,21734,35671,42225,45807,56144
Upper Primary School,Chandigarh,Total,272,92,178,191,36,139,391,377,353,211
Upper Primary School,Chandigarh,Male,NA,14,16,15,11,19,35,90,103,55
Upper Primary School,Chandigarh,Female,NA,78,162,176,25,120,356,287,250,156
Upper Primary School,Chhattisgarh,Total,22212,25954,25213,26058,29933,35210,35841,45952,53995,55173
Upper Primary School,Chhattisgarh,Male,NA,18648,19379,19762,21594,24984,25435,31857,35131,35133
Upper Primary School,Chhattisgarh,Female,NA,7306,5834,6296,8339,10226,10406,14095,18864,20040
Upper Primary School,Dadra and Nagar Haveli,Total,521,612,213,278,288,303,1041,436,537,484
Upper Primary School,Dadra and Nagar Haveli,Male,NA,299,152,167,174,181,425,285,329,243
Upper Primary School,Dadra and Nagar Haveli,Female,NA,313,61,111,114,122,616,151,208,241
Upper Primary School,Daman and Diu,Total,244,156,281,281,259,259,231,436,436,288
Upper Primary School,Daman and Diu,Male,NA,85,133,133,122,122,76,226,226,97
Upper Primary School,Daman and Diu,Female,NA,71,148,148,137,137,155,210,210,191
Upper Primary School,Delhi,Total,22113,8295,9192,9210,7226,7848,8812,7873,7297,7482
Upper Primary School,Delhi,Male,NA,1911,2468,2473,1823,1611,1572,1580,1222,1269
Upper Primary School,Delhi,Female,NA,6384,6724,6737,5403,6237,7240,6293,6075,6213
Upper Primary School,Goa,Total,611,552,564,484,2148,2283,2365,2228,2515,2428
Upper Primary School,Goa,Male,NA,149,154,123,635,623,640,622,707,696
Upper Primary School,Goa,Female,NA,403,410,361,1513,1660,1725,1606,1808,1732
Upper Primary School,Gujarat,Total,171649,196388,199341,182306,186769,187769,195593,242916,244331,244331
Upper Primary School,Gujarat,Male,NA,91522,92899,92845,86606,88606,90263,119171,119905,119905
Upper Primary School,Gujarat,Female,NA,104866,106442,89461,100163,99163,105330,123745,124426,124426
Upper Primary School,Haryana,Total,8751,13449,8389,9896,11175,15109,18514,15610,20128,22835
Upper Primary School,Haryana,Male,NA,7639,5345,6136,6539,8290,9873,8360,11258,13285
Upper Primary School,Haryana,Female,NA,5810,3044,3760,4636,6819,8641,7250,8870,9550
Upper Primary School,Himachal Pradesh,Total,7836,9900,9199,13747,13417,11981,32854,26427,34389,28011
Upper Primary School,Himachal Pradesh,Male,NA,6822,6391,8752,8572,8208,20114,17280,20032,17381
Upper Primary School,Himachal Pradesh,Female,NA,3078,2808,4995,4845,3773,12740,9147,14357,10630
Upper Primary School,Jammu and Kashmir,Total,30989,36795,26624,28279,32773,32773,50232,43109,45151,45151
Upper Primary School,Jammu and Kashmir,Male,NA,21272,15563,16707,18773,18773,29136,24859,25007,25007
Upper Primary School,Jammu and Kashmir,Female,NA,15523,11061,11572,14000,14000,21096,18250,20144,20144
Upper Primary School,Jharkhand,Total,26498,26301,26536,28242,31619,35897,53800,53800,NA,NA
Upper Primary School,Jharkhand,Male,NA,18174,18853,19523,22077,25556,43695,43695,NA,NA
Upper Primary School,Jharkhand,Female,NA,8127,7683,8719,9542,10341,10105,10105,NA,NA
Upper Primary School,Karnataka,Total,186596,167451,189768,192418,184566,187382,188140,214354,223272,236583
Upper Primary School,Karnataka,Male,NA,79366,82696,83836,80415,84153,86318,93394,95163,99224
Upper Primary School,Karnataka,Female,NA,88085,107072,108582,104151,103229,101822,120960,128109,137359
Upper Primary School,Kerala,Total,48851,46544,45164,45396,46481,45423,45938,44726,44136,43278
Upper Primary School,Kerala,Male,NA,14876,14740,14435,14544,14022,13920,13540,13192,12930
Upper Primary School,Kerala,Female,NA,31668,30424,30961,31937,31401,32018,31186,30944,30348
Upper Primary School,Lakshadweep,Total,102,317,111,148,113,87,161,244,244,244
Upper Primary School,Lakshadweep,Male,NA,191,58,87,76,62,96,140,140,140
Upper Primary School,Lakshadweep,Female,NA,126,53,61,37,25,65,104,104,104
Upper Primary School,Madhya Pradesh,Total,96050,148333,132183,129437,129445,137275,142395,142395,86216,82202
Upper Primary School,Madhya Pradesh,Male,NA,94113,82851,111198,91575,108447,111475,111475,60392,57204
Upper Primary School,Madhya Pradesh,Female,NA,54220,49332,18239,37870,28828,30920,30920,25824,24998
Upper Primary School,Maharashtra,Total,242265,189583,186821,192482,203046,204212,204543,206673,205769,207455
Upper Primary School,Maharashtra,Male,NA,107457,106004,109218,113523,114175,114363,109746,108984,108160
Upper Primary School,Maharashtra,Female,NA,82126,80817,83264,89523,90037,90180,96927,96785,99295
Upper Primary School,Manipur,Total,7824,8834,8834,8753,8673,8597,8565,8584,8597,8234
Upper Primary School,Manipur,Male,NA,5224,5224,5181,5113,5056,5045,5057,5061,4731
Upper Primary School,Manipur,Female,NA,3610,3610,3572,3560,3541,3520,3527,3536,3503
Upper Primary School,Meghalaya,Total,4967,5540,6607,7407,7407,9407,9407,9407,9407,9407
