State/UT,full-time-teachers-percentage,computer-availability-schools-percentage,mid-day-meal-school-percentage,#schools-100-people,pucca-building-type-schools-percentage,hand-wash-facility-percentage,#teachers-100-people,toilet-facility-schools-percentage,private-schools-percentage,drinking-water-schools-percentage,play-ground-school-percentage,students-pass-percentage,Trained-teachers-percentage,text-books-received-schools-percentage,boundary-wall-schools-percentage,#students-100-people,govt-schools-percentage,electricity-connection-school-percentage,School-drop-out-percentage,literacy-rate
Nagaland,91.98490035993328,79.0,74.13,0.3480730444133625,78.32596121129636,8.9,2.698128648460437,96.94,32.93637291595781,75.09,39.33,87.32620913175599,25.0,80.87,75.34,49.184770057427905,67.06362708404221,34.96,75.1,82.5
Orissa,63.14697656544665,39.71,94.45,0.6427856142458331,63.080989793670604,12.87,1.6688503473886316,53.985,40.33650467309326,88.65,29.65,85.11302599152695,92.75,88.8,58.79,61.65252128819003,59.66349532690674,20.4,64.0,78.0
Puducherry,,95.38,96.59,0.2755654406593946,69.43620178041543,27.86,,96.26,56.77546983184966,100.0,66.57,78.21107722613581,98.25,96.54,87.31,89.10848719751854,43.22453016815034,99.86,,
Punjab,86.08622800799124,90.9,87.49,0.312892650339448,83.11880506607929,35.9,1.6901652033565318,92.385,31.425523127753305,99.78,81.47,81.83762333110728,100.0,94.95,95.08,64.87147882697992,68.57447687224669,99.37,,77.0
Rajasthan,87.50477763586252,59.58,75.41,0.4542937956581408,75.69684262456833,33.12,1.72452205265659,90.72,40.60727059694129,94.68,48.39,82.81367374578801,87.25,94.08,76.34,64.13170696005075,59.39272940305871,39.39,68.5,70.5
Sikkim,76.07210469997531,76.05,91.08,0.6122513150152052,67.93837123991196,22.32,5.501277956706691,83.24,42.92002934702861,98.17,64.03,86.56599960347154,55.75,85.8,29.31,70.23461398520354,57.07997065297139,60.03,69.9,84.0
Tamil Nadu,100.0,83.46,97.64,0.23905288481884854,100.0,41.77,1.4677426240536466,83.165,30.62708446443807,100.0,75.12,80.78247141175035,100.0,99.13,71.85,73.76516961643951,69.37291553556193,94.58,25.9,80.5
Tripura,73.53354784888572,73.8,99.43,0.40979273868880417,77.64188801834511,21.29,2.740043555650919,67.8,20.408943244792663,82.38,60.21,82.908042728275,79.25,97.55,13.18,72.59071548888123,79.59105675520733,14.32,58.4,89.5
Uttar Pradesh,100.0,42.42,89.21,0.2672990048732604,94.16940388649894,17.94,0.6897378106550123,96.4,36.90690627052915,98.16,73.35,84.01930976641206,96.75,91.55,53.68,65.86312281209091,63.09309372947085,29.27,24.0,70.5
Uttarakhand,79.57705893288716,83.35,97.33,0.6463085087726834,84.57598623763538,20.51,2.717088349465988,73.87,32.68561598310983,92.98,57.17,79.51443398619328,100.0,96.83,79.6,73.72066190966895,67.31438401689017,40.78,36.6,80.5
West Bengal,96.94531848465334,71.76,86.82,0.2207265021700581,85.6334051140172,17.41,0.9461672359033418,74.125,23.623450892029492,95.37,33.08,81.95618486395395,54.5,89.0,32.68,57.93949964042743,76.3765491079705,28.84,64.2,78.5
