"Name of the River","Length(Km)","No. of Monitoring locations","Year","Temp.(in degree Centigrade)","pH","Conductivity(μmhos/cm)","Dissolved Oxygen(D.O.)(mg/l)","Biochemical oxygen demand(B.O.D.)(mg/l)","Total Coliform(MPN/100 ml)","Faecal Coliform(MPN/100 ml)"
"Godavari","1465","11","2004","21-35","6.5-9","86-1290","2.4-9.2","0.2-15","4-22 x 104","2-5 x 104"
"Godavari","1465","18","2005","23-32","6.7-9.1","121-1300","0.8-8.7","0.5-20","2-33 x 103","1-10 x 103"
"Godavari","1465","18","2006","19-34","6.65-9.11","75-691","1.1-9.6","1.2-32","2-31 x 103","2-6 x 103"
"Godavari","1465","18","2007","20-37","5.9-8.9","126-918","3.2-7.5","0.2-36","0-2200","5-36 x103"
"Godavari","1465","35","2008","13-35","5.2-9.6","114-3994","1.2-11.3","0.2-20","3-28 x103","0-800"
"Godavari","1465","35","2009","15-41","6-9.2","115-3169","3.2-12.3","0.0-26","5-16000","0-340"
"Godavari","1465","35","2010","12-40","5.4-8.9","91-1670","1.8-14.2","0.3-60","2-2400","1-1600"
"Godavari","1465","35","2011","18-40","6.4-9.1","132-1959","1.2-12.2","0.0-37","7-2400","1-500"
"Krishna","1401","17","2002","18-33","6.8-9.5","28-11050","2.9-10.9","0.2 – 10.0","17-33300","3-1 x 103"
"Krishna","1401","17","2003","18-35","6.7-8.9","36-40000","0.7-12.6","0.5-17","6-7 x 104","2-2 x 104"
"Krishna","1401","17","2004","18-38","6.7- 9","71-44000","0.4-9.2","0.3-9","15-124 x 103","3-28 x 103"
"Krishna","1401","21","2005","24-37","6.5-9.9","69-43300","1.4-8.8","0.4-40","17-84 x 103","1-34 x 103"
"Krishna","1401","19","2006","15-40","6.32-9.30","76-2580","3.0-8.5","0.4-14.8","4-86 x 103","1-6 x 103"
"Krishna","1401","19","2007","13-38","6.2-9.1","69-23400","3.0-10","0.1-9.8","0-71x103","0-1600"
"Krishna","1401","22","2008","17.3-39","5.8-8.9","44-14290","1.1-9.8","0.2-17.6","8-16 x 103","0-3 x 103"
"Krishna","1401","22","2009","18.4-41","6.7-9.0","75-19960","0-12.6","0.3-9.6","8-170000","0-1400"
"Krishna","1401","24","2010","17-39","6.5-9.1","42-16720","1.5-11.8","0-10","2-4000","0-1600"
"Krishna","1401","26","2011","19.2-38","6.9-8.7","99-8570","1.7-15.8","0.4-16","4-16000","2-9000"
"Cauvery","800","20","2002","21-37","2.0-9.2","31-53100","0.1-12.6","0.1 – 26.6","39-16 x 103","2-28 x 103"
"Cauvery","800","20","2003","8-34","7-9.2","42-57200","2.1-13.5","0.2-10","4-22 x 103","2-4 x 103"
"Cauvery","800","20","2004","19- 35","6.6-9","35-39720","3.3-9.9","1-9","2-5 x 104","2-17 x 103"
"Cauvery","800","20","2005","20-37","6.2-9.5","28-48700","0.3-9.8","1-12","2-9500","1-3 x 103"
"Cauvery","800","20","2006","20-34","7.0-9.3","26-1694","2.7-8.9","1-6","90-3500","3-1400"
"Cauvery","800","20","2007","19-32","6.5-8.8","28-56500","0-12.4","0.1-38","40-28 x103","4-17 x103"
"Cauvery","800","20","2008","20-35","6.5-8.8","27-28700","0.6-14","0.1-23","27-5400","0-3500"
"Cauvery","800","20","2009","20-34","6.5-8.9","65-81800","1.5-10.3","0.1-17","7-9200","2-5400"
"Cauvery","800","29","2010","21-30","6.5-8.9","18-8430","0.4-12.2","0.1-27","70-15000","20-12000"
"Cauvery","800","31","2011","20-34","4.3-8.9","7-3640","1.7-10.9","0.1-7.2","90-6200","20-2200"
"Mahanadi","851","16","2002","18-38","7.3-8.9","114-15940","1.3-10.4","1.0 – 7.6","15-30000","50-17000"
"Mahanadi","851","16","2003","17-37","6.5-8.6","77-83600","4.7-10.1","0.3-5.6","4-35X103","50-28X103"
"Mahanadi","851","16","2004","17- 34","6.3-8.8","105-20700","4.4- 9.4","0.2-4","3-92X103","27-24X103"
"Mahanadi","851","21","2005","22-34","6.1-8.7","75-36279","4.5-10","0.2-16","3-92X103","78-54X103"
"Mahanadi","851","21","2006","20-32","6.97-8.9","113-34587","4.7-8.5","0.2-3.8","14-92X103","68-54X103"
"Mahanadi","851","21","2007","26-33","7.3-8.54","102-813","6.2-8.9","1.2-3.6","27-35 x103","700-17 x103"
"Mahanadi","851","22","2008","18-36","6.7-8.8","109-29400","0.8-8.9","0.2-4.6","15-16 x104","310- 54 x103"
"Mahanadi","851","22","2009","17-39","6.7-8.8","103-48830","0.2-11","0.2-7.1","5-1600000","110-160000"
"Mahanadi","851","22","2010","17-39","7.0 – 9.3","92 - 42350","4.4-11","0.2 – 14.3","10 - 160000","45 - 92000"
"Mahanadi","851","23","2011","18-36","7.1–8.5","90 - 13190","4.9 -10.5","0.6 -3.6","10- 160000","78-160000"
"Brahamani","799","11","2002","20-38","7.0-8.4","81-376","5.2-9.8","1.5 – 6.0","80-90000","40-60000"
"Brahamani","799","11","2003","17-35","6.6-8.4","69-501","6.1-10.2","0.2-6","90-24x103","60-14x103"
"Brahamani","799","11","2004","16-28","6.3-8.4","47-402","6-9.6","0.2-7","490-28x103","22-13x103"
"Brahamani","799","11","2005","16-34","6.3-8.7","65-850","5.1-13.8","0.3-5.2","490-16x104","330-16x104"
"Brahamani","799","11","2006","18-32","6.9-8.4","102-380","4.6-8.9","0.3-5.4","940-5400","630-2400"
"Brahamani","799","15","2007","20-40","6.7-8.5","91-582","1.9-8.9","0.3-4.9","210-54 x103","110-22 x103"
"Brahamani","799","16","2008","18-38","6.4-8.4","93- 664","5.3- 9.7","0.4-6.2","750-21 x103","110- 14 x103"
"Brahamani","799","16","2009","12-40","6.6-8.5","70-431","4.5-18.3","0.2-5.8","940-22000","460-13000"
"Brahamani","799","16","2010","17-37","6.6-8.5","97-623","5.6-12","0.4-5.6","330-92000","130-35000"
"Brahamani","799","16","2011","15-38","6.7–8.5","93 - 458","5.0 -9.9","0.6 - 6.6","330-92000","170-35000"
"Baitarni","NA","5","2002","24-36","7.3-8.3","54-78400","6.8-9.3","2.0 – 6.8","900-22000","700-11000"
"Baitarni","NA","5","2003","18-36","6.7-7.8","75-54802","5.4-11.3","0.3-3.5","330-16x103","230-9x103"
"Baitarni","NA","5","2004","18-32","6.6-8.1","64-29118","5.9-9.8","0.4-2.6","640-92000","310-35x102"
"Baitarni","NA","5","2005","24-34","7-8.6","68-42257","5.2-8.8","0.4-4.3","790-24x103","3330-11x103"
"Baitarni","NA","5","2006","15-25","7.6-8.4","90-2287","7.4-8.0","0.3-1.8","1400-4300","790-1700"
"Baitarni","NA","5","2007","22-35","7.3-8.2","136-19450","5.6-8.8","0.4-2.2","330-5400","170-2200"
"Baitarni","NA","5","2008","22-36","7.5-8.2","75-48400","6.3-9.2","0.8-2","940-5400","700-3500"
"Baitarni","NA","5","2009","25-38","6.7-8.4","69-28400","6.1-9.0","0.6-3.4","630-5400","230-2800"
"Baitarni","NA","5","2010","18 - 36","6.6-8.3","98 - 33320","5.6 – 8.8","0.4 – 2.6","470 - 16000","210 - 5400"
"Baitarni","NA","5","2011","15-36","7.1-8.4","83- 32540","5.2-11.9","0.3- 3.2","350 - 54000","140 - 24000"
"Subarnarekha","395","6","2002","18-36","6.5-8.0","113-355","5.2-8.5","0.2 – 12.0","150-1800","70-540"
"Subarnarekha","395","6","2003","22-35","7.3-8.3","133-346","6.4-8.4","1-2","300-7900","130-3300"
"Subarnarekha","395","6","2004","24-28","7.8-8.3","152-623","7.1-7.5","0.4-2.5","470-2200","270-700"
"Subarnarekha","395","6","2005","20-36","6.8-8.3","130-405","5.5-8.6","1.0-4.7","110-1400","78-700"
"Subarnarekha","395","6","2006","19-34","6.9-7.9","192-15013","5.8-8.2","0.3-4.6","2200","1300"
"Subarnarekha","395","6","2007","19-37","6-8.1","134-740","4.6-8.7","0.9-8.0","540-2400","200-920"
"Subarnarekha","395","12","2008","19-35.5","6.5-8.0","119-332","5.1-8.9","0.0-10.5","540-3500","200-1700"
"Subarnarekha","395","12","2009","19.5-40","6.4-8.4","164-717","4.0-8.5","0.4-6.3","280-2400","70-1300"
"Subarnarekha","395","12","2010","19-38","6.8-8.0","152-244","5.9-8.2","0.4-2.8","NA","NA"
"Subarnarekha","395","12","2011","15-38","6.5-8.4","126-408","3.0-8.6","0.2-7.0","750-43000","110-15000"
"Brahmaputra","916","6","2002","15-32","6.5-9.0","104-684","1.1-10.5","0.1 – 3.9","360-240000","300-24000"
"Brahmaputra","916","6","2003","14-32","6.4-8.4","77-570","1.2-11.5","0.4-3.5","360-24x104","300-24x104"
"Brahmaputra","916","6","2004","15-34","5.2-9","91-445","1.1-9.4","0.4-4.3","360-24x104","300-24x104"
"Brahmaputra","916","10","2005","NA","5.9-7.6","20-408","2-10.5","0.3-6.2","300-24x104","150-24x104"
"Brahmaputra","916","10","2006","18-30","6.9-8.0","55-485","4.2-10.2","0.3-5.7","1-24x104","300-24x104"
"Brahmaputra","916","10","2007","18-32","5.9-7.9","76-645","5.1-10","0.1-3.4","0-24 x104","0-24 x104"
"Brahmaputra","916","10","2008","12-32","6.1-8.1","75-460","3.3-9.6","0.4-5.4","1-24 x104","0-24 x103"
"Brahmaputra","916","10","2009","17-31","6.1-8.1","69-303","4.4-10.5","0.3-5.4","1-24000","0-1100"
"Brahmaputra","916","10","2010","18-32","6.5-8.1","49-371","3.6-9.4","0.6-6.3","0-3000","0-360"
"Brahmaputra","916","10","2011","17-32","6.1-8.5","68-238","4.4-30","0.3-9.2","0-15000","0-1500"
"Satluj","1078","20","2002","9-32","6.8-8.8","131-819","3.8-11.4","0.1 – 45.0","8-35000","2-3500"
"Satluj","1078","20","2003","5-30","6.9-8.9","164-1226","3.4-11.5","0.1-24","3-3x104","1-1300"
"Satluj","1078","20","2004","9-29","7.1-8.3","144-694","1.6-10.3","0.1-64","7-2x105","2-9x104"
"Satluj","1078","21","2005","10-28","7.1-8.3","150-818","2.8-14.2","0.1-40","1-35x104","1-11x104"
"Satluj","1078","21","2006","7-28","7.1-8.26","160-958","2.8-10.6","0.1-32","1-17x104","1-5x104"
"Satluj","1078","21","2007","2-26","7-8.6","145-865","3.2-11.9","0-28","3-17 x104","0-9 x104"
"Satluj","1078","21","2008","4.5-23","7.0-8.5","162-843","1.2 - 12.4","0.0-48","12- 11 x104","0 - 10 x103"
"Satluj","1078","22","2009","7.5-26","6.3-8.5","124-932","0.6-11.4","0.1-55","4-250000","0-110000"
