School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,Manipur,Female,,3181,3185,3094,3034,2993,2966,2968.0,2955.0,3189.0
Primary School,Meghalaya,Total,13365.0,14397,13745,13745,13745,14745,14034,14034.0,14034.0,14052.0
Primary School,Meghalaya,Male,,7217,7300,7300,7300,7838,7557,4480.0,4480.0,4490.0
Primary School,Meghalaya,Female,,7180,6445,6445,6445,6907,6477,9554.0,9554.0,9562.0
Primary School,Mizoram,Total,5429.0,4628,5849,5969,5210,8099,8002,8716.0,8477.0,8310.0
Primary School,Mizoram,Male,,2417,3009,3015,2651,3888,3878,4228.0,4004.0,3953.0
Primary School,Mizoram,Female,,2211,2840,2954,2559,4211,4124,4488.0,4473.0,4357.0
Primary School,Nagaland,Total,6952.0,7011,7474,8127,7948,7948,7956,7956.0,7956.0,7956.0
Primary School,Nagaland,Male,,4335,4896,5159,4985,4985,4995,4995.0,4995.0,4995.0
Primary School,Nagaland,Female,,2676,2578,2968,2963,2963,2961,2961.0,2961.0,2961.0
Primary School,Orissa,Total,111040.0,85760,78182,99079,101199,123686,107571,117250.0,136064.0,136707.0
Primary School,Orissa,Male,,59130,54589,63709,65177,78677,66050,71592.0,78758.0,78529.0
Primary School,Orissa,Female,,26630,23593,35370,36022,45009,41521,45658.0,57306.0,58178.0
Primary School,Puducherry,Total,2356.0,1754,2876,2969,2853,2993,3143,1665.0,1696.0,1642.0
Primary School,Puducherry,Male,,745,784,783,707,678,658,559.0,548.0,531.0
Primary School,Puducherry,Female,,1009,2092,2186,2146,2315,2485,1106.0,1148.0,1111.0
Primary School,Punjab,Total,40981.0,41524,40805,38676,37028,38676,36327,54675.0,44292.0,49273.0
Primary School,Punjab,Male,,14913,15303,14771,13856,14469,13427,15573.0,15465.0,17624.0
Primary School,Punjab,Female,,26611,25502,23905,23172,24207,22900,39102.0,28827.0,31649.0
Primary School,Rajasthan,Total,100806.0,92714,120368,119969,121737,124670,123569,117566.0,113629.0,104873.0
Primary School,Rajasthan,Male,,63912,88457,86981,86697,87233,85668,80788.0,77978.0,72178.0
Primary School,Rajasthan,Female,,28802,31911,32988,35040,37437,37901,36778.0,35651.0,32695.0
Primary School,Sikkim,Total,3490.0,2746,5031,5121,5388,7908,6912,6305.0,7845.0,7845.0
Primary School,Sikkim,Male,,1703,2667,2559,2663,3512,3171,3246.0,3322.0,3322.0
Primary School,Sikkim,Female,,1043,2364,2562,2725,4396,3741,3059.0,4523.0,4523.0
Primary School,Tamil Nadu,Total,121483.0,123369,121236,119969,115568,114644,162792,127022.0,124657.0,85402.0
Primary School,Tamil Nadu,Male,,36324,44493,37390,53190,38221,42371,46615.0,34653.0,22279.0
Primary School,Tamil Nadu,Female,,87045,76743,82579,62378,76423,120421,80407.0,90004.0,63123.0
Primary School,Tripura,Total,13489.0,8951,14606,8036,12207,7805,7855,7800.0,7936.0,8560.0
Primary School,Tripura,Male,,7245,7501,6145,6027,6215,6196,6160.0,6209.0,6349.0
Primary School,Tripura,Female,,1706,7105,1891,6180,1590,1659,1640.0,1727.0,2211.0
Primary School,Uttar Pradesh,Total,293911.0,384605,395202,399457,412080,441032,331652,326240.0,354976.0,344826.0
Primary School,Uttar Pradesh,Male,,256786,263861,285888,294956,309439,190338,180656.0,188905.0,206896.0
Primary School,Uttar Pradesh,Female,,127819,131341,113569,117124,131593,141314,145584.0,166071.0,137930.0
Primary School,Uttarakhand,Total,29526.0,36923,40527,43715,46415,47888,48439,48455.0,46345.0,45784.0
Primary School,Uttarakhand,Male,,16141,19099,20741,21682,22150,22420,23555.0,21814.0,21286.0
Primary School,Uttarakhand,Female,,20782,21428,22974,24733,25738,26019,24900.0,24531.0,24498.0
Primary School,West Bengal,Total,151971.0,151255,157397,151665,149764,153515,152011,150032.0,236720.0,153571.0
Primary School,West Bengal,Male,,113473,117669,110096,109243,109840,108552,107166.0,128871.0,109035.0
Primary School,West Bengal,Female,,37782,39728,41569,40521,43675,43459,42866.0,107849.0,44536.0
Upper Primary School,Andaman and Nicobar Islands,Total,738.0,723,737,723,726,789,768,802.0,856.0,906.0
Upper Primary School,Andaman and Nicobar Islands,Male,,354,355,340,337,325,313,327.0,349.0,357.0
Upper Primary School,Andaman and Nicobar Islands,Female,,369,382,383,389,464,455,475.0,507.0,549.0
Upper Primary School,Andhra Pradesh,Total,85263.0,108222,100365,103985,106215,112388,110949,94662.0,90077.0,93003.0
Upper Primary School,Andhra Pradesh,Male,,63896,58075,60900,62034,64144,62735,53351.0,49570.0,50096.0
Upper Primary School,Andhra Pradesh,Female,,44326,42290,43085,44181,48244,48214,41311.0,40507.0,42907.0
Upper Primary School,Arunachal Pradesh,Total,2676.0,2864,2969,3069,3494,4165,4940,5191.0,5792.0,5805.0
Upper Primary School,Arunachal Pradesh,Male,,2080,2125,2164,2359,2884,3200,3355.0,3746.0,3737.0
Upper Primary School,Arunachal Pradesh,Female,,784,844,905,1135,1281,1740,1836.0,2046.0,2068.0
Upper Primary School,Assam,Total,57698.0,58703,73147,73062,69013,73914,100129,100129.0,81637.0,81637.0
Upper Primary School,Assam,Male,,46299,56321,55734,52622,54626,74000,74000.0,62096.0,62096.0
Upper Primary School,Assam,Female,,12404,16826,17328,16391,19288,26129,26129.0,19541.0,19541.0
Upper Primary School,Bihar,Total,60967.0,55734,56654,55741,58033,73458,101781,117992.0,124342.0,146645.0
Upper Primary School,Bihar,Male,,42608,44476,43550,44949,51724,66110,75767.0,78535.0,90501.0
Upper Primary School,Bihar,Female,,13126,12178,12191,13084,21734,35671,42225.0,45807.0,56144.0
Upper Primary School,Chandigarh,Total,272.0,92,178,191,36,139,391,377.0,353.0,211.0
Upper Primary School,Chandigarh,Male,,14,16,15,11,19,35,90.0,103.0,55.0
Upper Primary School,Chandigarh,Female,,78,162,176,25,120,356,287.0,250.0,156.0
Upper Primary School,Chhattisgarh,Total,22212.0,25954,25213,26058,29933,35210,35841,45952.0,53995.0,55173.0
Upper Primary School,Chhattisgarh,Male,,18648,19379,19762,21594,24984,25435,31857.0,35131.0,35133.0
Upper Primary School,Chhattisgarh,Female,,7306,5834,6296,8339,10226,10406,14095.0,18864.0,20040.0
