School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Senior Secondary School,Madhya Pradesh,Total,51382.0,72585.0,63467.0,59710.0,58211.0,59439,62409,62895,68353.0,66857.0
Senior Secondary School,Madhya Pradesh,Male,,,,,,36715,38618,38943,40580.0,38270.0
Senior Secondary School,Madhya Pradesh,Female,,,,,,22724,23791,23952,27773.0,28587.0
Senior Secondary School,Maharashtra,Total,108234.0,101953.0,117289.0,120427.0,123584.0,127358,129062,129393,131356.0,131356.0
Senior Secondary School,Maharashtra,Male,,,,,,86861,88025,88255,89536.0,89536.0
Senior Secondary School,Maharashtra,Female,,,,,,40497,41037,41138,41820.0,41820.0
Senior Secondary School,Manipur,Total,2528.0,3104.0,3104.0,3075.0,3033.0,3006,2991,2996,3006.0,3198.0
Senior Secondary School,Manipur,Male,,,,,,1655,1643,1645,1650.0,1705.0
Senior Secondary School,Manipur,Female,,,,,,1351,1348,1351,1356.0,1493.0
Senior Secondary School,Meghalaya,Total,949.0,2201.0,949.0,995.0,995.0,1155,1155,1344,1344.0,1341.0
Senior Secondary School,Meghalaya,Male,,,,,,529,529,634,634.0,628.0
Senior Secondary School,Meghalaya,Female,,,,,,626,626,710,710.0,713.0
Senior Secondary School,Mizoram,Total,485.0,1037.0,663.0,845.0,854.0,929,941,1058,1224.0,1224.0
Senior Secondary School,Mizoram,Male,,,,,,517,521,598,687.0,702.0
Senior Secondary School,Mizoram,Female,,,,,,412,420,460,537.0,522.0
Senior Secondary School,Nagaland,Total,982.0,931.0,1519.0,1757.0,2053.0,2053,2394,2394,2394.0,2394.0
Senior Secondary School,Nagaland,Male,,,,,,1014,1193,1193,1193.0,1193.0
Senior Secondary School,Nagaland,Female,,,,,,1039,1201,1201,1201.0,1201.0
Senior Secondary School,Orissa,Total,9624.0,5721.0,4039.0,16701.0,17124.0,22571,21451,21451,24303.0,25048.0
Senior Secondary School,Orissa,Male,,,,,,17332,15309,15309,18461.0,19037.0
Senior Secondary School,Orissa,Female,,,,,,5239,6142,6142,5842.0,6011.0
Senior Secondary School,Puducherry,Total,2889.0,2643.0,3113.0,3161.0,3297.0,3714,3950,4107,4468.0,4780.0
Senior Secondary School,Puducherry,Male,,,,,,1625,1547,1599,1742.0,1758.0
Senior Secondary School,Puducherry,Female,,,,,,2089,2403,2508,2726.0,3022.0
Senior Secondary School,Punjab,Total,38509.0,42030.0,38836.0,38782.0,38451.0,38782,36945,36729,38775.0,60912.0
Senior Secondary School,Punjab,Male,,,,,,16239,15848,15803,13975.0,20811.0
Senior Secondary School,Punjab,Female,,,,,,22543,21097,20926,24800.0,40101.0
Senior Secondary School,Rajasthan,Total,46663.0,54299.0,55423.0,57701.0,61803.0,72541,77050,82691,91775.0,97748.0
Senior Secondary School,Rajasthan,Male,,,,,,50874,54677,59437,65870.0,69778.0
Senior Secondary School,Rajasthan,Female,,,,,,21667,22373,23254,25905.0,27970.0
Senior Secondary School,Sikkim,Total,1069.0,1703.0,268.0,419.0,467.0,608,883,661,563.0,563.0
Senior Secondary School,Sikkim,Male,,,,,,381,520,418,354.0,354.0
Senior Secondary School,Sikkim,Female,,,,,,227,363,243,209.0,209.0
Senior Secondary School,Tamil Nadu,Total,105493.0,134621.0,139789.0,142362.0,152574.0,154597,38194,94265,90347.0,95394.0
Senior Secondary School,Tamil Nadu,Male,,,,,,65782,19380,42300,40330.0,42721.0
Senior Secondary School,Tamil Nadu,Female,,,,,,88815,18814,51965,50017.0,52673.0
Senior Secondary School,Tripura,Total,9540.0,9780.0,9392.0,9199.0,8991.0,9049,9119,9546,9546.0,11622.0
Senior Secondary School,Tripura,Male,,,,,,5703,5703,5935,5935.0,7225.0
Senior Secondary School,Tripura,Female,,,,,,3346,3416,3611,3611.0,4397.0
Senior Secondary School,Uttar Pradesh,Total,98211.0,136500.0,138714.0,139906.0,145358.0,150283,123326,123355,125775.0,171855.0
Senior Secondary School,Uttar Pradesh,Male,,,,,,127986,101774,100534,102809.0,144906.0
Senior Secondary School,Uttar Pradesh,Female,,,,,,22297,21552,22821,22966.0,26949.0
Senior Secondary School,Uttarakhand,Total,5694.0,21355.0,21355.0,22085.0,23385.0,23892,24232,21190,22243.0,22519.0
Senior Secondary School,Uttarakhand,Male,,,,,,17176,17365,16390,16830.0,16996.0
Senior Secondary School,Uttarakhand,Female,,,,,,6716,6867,4800,5413.0,5523.0
Senior Secondary School,West Bengal,Total,53867.0,70939.0,65442.0,61795.0,64362.0,69692,78380,78620,139927.0,93057.0
Senior Secondary School,West Bengal,Male,,,,,,48214,53174,53259,86726.0,63279.0
Senior Secondary School,West Bengal,Female,,,,,,21478,25206,25361,53201.0,29778.0
