School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,Lakshadweep,Female,,123.0,125.0,116.0,138.0,132,132,90,90.0,90.0
Secondary School,Madhya Pradesh,Total,78754.0,108861.0,99648.0,94343.0,93239.0,96331,103461,105235,115301.0,120913.0
Secondary School,Madhya Pradesh,Male,,65685.0,63196.0,43147.0,57425.0,59904,63734,64729,68518.0,69504.0
Secondary School,Madhya Pradesh,Female,,43176.0,36452.0,51196.0,35814.0,36427,39727,40506,46783.0,51409.0
Secondary School,Maharashtra,Total,203425.0,256298.0,272657.0,278545.0,284501.0,291715,295283,296049,298012.0,298012.0
Secondary School,Maharashtra,Male,,174317.0,186513.0,190874.0,194567.0,199512,201955,202480,203761.0,203761.0
Secondary School,Maharashtra,Female,,81981.0,86144.0,87671.0,89934.0,92203,93328,93569,94251.0,94251.0
Secondary School,Manipur,Total,12062.0,12279.0,12279.0,12133.0,11966.0,11807,11716,11715,11756.0,11913.0
Secondary School,Manipur,Male,,7263.0,7263.0,7183.0,7039.0,6931,6853,6848,6870.0,6816.0
Secondary School,Manipur,Female,,5016.0,5016.0,4950.0,4927.0,4876,4863,4867,4886.0,5097.0
Secondary School,Meghalaya,Total,6158.0,7234.0,6274.0,6204.0,6204.0,5600,5600,5789,6181.0,6178.0
Secondary School,Meghalaya,Male,,3932.0,3566.0,3512.0,3512.0,3096,3096,2736,2928.0,2922.0
Secondary School,Meghalaya,Female,,3302.0,2708.0,2692.0,2692.0,2504,2504,3053,3253.0,3256.0
Secondary School,Mizoram,Total,3338.0,3626.0,3894.0,4437.0,4548.0,4697,4876,4944,5077.0,5094.0
Secondary School,Mizoram,Male,,2534.0,2774.0,3043.0,3145.0,3208,3313,3311,3396.0,3434.0
Secondary School,Mizoram,Female,,1092.0,1120.0,1394.0,1403.0,1489,1563,1633,1681.0,1660.0
Secondary School,Nagaland,Total,6976.0,5099.0,7802.0,8184.0,8514.0,8786,9022,9022,9022.0,9022.0
Secondary School,Nagaland,Male,,3083.0,4714.0,4760.0,4919.0,5191,5194,5194,5194.0,5194.0
Secondary School,Nagaland,Female,,2016.0,3088.0,3424.0,3595.0,3595,3828,3828,3828.0,3828.0
