Particulars,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,Lakshadweep,Boy,,1829.0,1933.0,2198.0,2237.0,2325,2325,2442,2445,2173
Secondary School,Lakshadweep,Girl,,1687.0,1729.0,1942.0,2055.0,2212,2212,2359,2405,2267
Secondary School,Madhya Pradesh,Total,1516413.0,1615752.0,1880135.0,2022014.0,2194999.0,2528649,2881733,3051750,3177685,3515377
Secondary School,Madhya Pradesh,Boy,,1053263.0,1210275.0,1292618.0,1393005.0,1587768,1795793,1884853,1970759,2162704
Secondary School,Madhya Pradesh,Girl,,562489.0,669860.0,729396.0,801994.0,940881,1085940,1166897,1206926,1352673
Secondary School,Maharashtra,Total,4249542.0,4412891.0,4546376.0,4672032.0,4766518.0,4777663,4837584,5137253,5409590,5461387
Secondary School,Maharashtra,Boy,,2472904.0,2526029.0,2590608.0,2496097.0,2622705,2663061,2829442,2987422,3001877
Secondary School,Maharashtra,Girl,,1939987.0,2020347.0,2081424.0,2270421.0,2154958,2174523,2307811,2422168,2459510
Secondary School,Manipur,Total,84226.0,100747.0,92148.0,96743.0,99842.0,103036,103569,106021,112729,120144
Secondary School,Manipur,Boy,,52299.0,48148.0,50445.0,52127.0,53793,53918,55385,58560,62674
Secondary School,Manipur,Girl,,48448.0,44000.0,46298.0,47715.0,49243,49651,50636,54169,57470
Secondary School,Meghalaya,Total,56571.0,73512.0,64230.0,74199.0,80707.0,88558,68726,72692,73390,73680
Secondary School,Meghalaya,Boy,,36720.0,32492.0,36873.0,40276.0,44444,33342,34008,34385,35642
Secondary School,Meghalaya,Girl,,36792.0,31738.0,37326.0,40431.0,44114,35384,38684,39005,38038
Secondary School,Mizoram,Total,36137.0,33219.0,36224.0,37078.0,35621.0,39650,40953,42849,47470,49910
Secondary School,Mizoram,Boy,,16567.0,17886.0,18574.0,18012.0,20097,20739,21734,23850,24875
Secondary School,Mizoram,Girl,,16652.0,18338.0,18504.0,17609.0,19553,20214,21115,23620,25035
Secondary School,Nagaland,Total,39260.0,29818.0,40365.0,47671.0,52975.0,54635,52634,52634,52634,52634
Secondary School,Nagaland,Boy,,15661.0,21439.0,25093.0,27669.0,28214,27248,27248,27248,27248
Secondary School,Nagaland,Girl,,14157.0,18926.0,22578.0,25306.0,26421,25386,25386,25386,25386
Secondary School,Orissa,Total,1177000.0,951943.0,1015394.0,1382498.0,867242.0,1370919,1252180,1253079,1288192,1361239
Secondary School,Orissa,Boy,,545313.0,586556.0,838016.0,478837.0,760763,686368,688480,695881,731143
Secondary School,Orissa,Girl,,406630.0,428838.0,544482.0,388405.0,610156,565812,564599,592311,630096
Secondary School,Puducherry,Total,50342.0,53756.0,57090.0,60119.0,62604.0,64596,66738,67048,68933,71233
Secondary School,Puducherry,Boy,,27012.0,28376.0,29768.0,31060.0,32110,32849,32953,33463,34807
Secondary School,Puducherry,Girl,,26744.0,28714.0,30351.0,31544.0,32486,33889,34095,35470,36426
Secondary School,Punjab,Total,856493.0,834261.0,843914.0,853298.0,862057.0,868885,839383,1030554,935886,1094125
Secondary School,Punjab,Boy,,439435.0,453624.0,458266.0,468512.0,486386,454502,557279,504205,592490
Secondary School,Punjab,Girl,,394826.0,390290.0,395032.0,393545.0,382499,384881,473275,431681,501635
Secondary School,Rajasthan,Total,1434286.0,1456905.0,1655627.0,1793025.0,1924198.0,2065546,2313069,2501844,2813631,3147406
Secondary School,Rajasthan,Boy,,1028990.0,1181515.0,1261080.0,1318621.0,1383136,1524283,1628345,1783794,1959695
Secondary School,Rajasthan,Girl,,427915.0,474112.0,531945.0,605577.0,682410,788786,873499,1029837,1187711
Secondary School,Sikkim,Total,12823.0,17685.0,15032.0,17983.0,18773.0,18496,18579,19432,21005,21005
