Particulars,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Senior Secondary School,Madhya Pradesh,Total,556095.0,493930.0,651870.0,701066.0,771479.0,922786,1063920,1152728,1211034,1433204
Senior Secondary School,Madhya Pradesh,Boy,,,,,,578880,666916,717252,755843,873958
Senior Secondary School,Madhya Pradesh,Girl,,,,,,343906,397004,435476,455191,559246
Senior Secondary School,Maharashtra,Total,1521865.0,1597493.0,1670121.0,1779999.0,1851926.0,1820063,1897273,2156340,2356976,2385711
Senior Secondary School,Maharashtra,Boy,,,,,,1047780,1076114,1216751,1329909,1353215
Senior Secondary School,Maharashtra,Girl,,,,,,772283,821159,939589,1027067,1032496
Senior Secondary School,Manipur,Total,16982.0,37826.0,21238.0,23178.0,23918.0,24683,24804,28325,32133,36185
Senior Secondary School,Manipur,Boy,,,,,,13838,13870,15541,18160,19523
Senior Secondary School,Manipur,Girl,,,,,,10845,10934,12784,13973,16662
Senior Secondary School,Meghalaya,Total,20420.0,29456.0,25834.0,26162.0,29634.0,31734,11171,17950,17984,18080
Senior Secondary School,Meghalaya,Boy,,,,,,16770,5331,8005,8021,8100
Senior Secondary School,Meghalaya,Girl,,,,,,14964,5840,9945,9963,9980
Senior Secondary School,Mizoram,Total,8975.0,11341.0,10539.0,10283.0,10555.0,11762,12816,14649,17049,18437
Senior Secondary School,Mizoram,Boy,,,,,,6098,6655,7482,8661,9274
Senior Secondary School,Mizoram,Girl,,,,,,5664,6161,7167,8388,9163
Senior Secondary School,Nagaland,Total,10831.0,8239.0,15291.0,17750.0,19579.0,19579,20634,20634,20634,20634
Senior Secondary School,Nagaland,Boy,,,,,,10586,11175,11175,11175,11175
Senior Secondary School,Nagaland,Girl,,,,,,8993,9459,9459,9459,9459
Senior Secondary School,Orissa,Total,493000.0,272671.0,170599.0,518480.0,518525.0,503878,374642,378561,379236,401586
Senior Secondary School,Orissa,Boy,,,,,,288145,213039,211968,212403,224888
Senior Secondary School,Orissa,Girl,,,,,,215733,161603,166593,166833,176698
Senior Secondary School,Puducherry,Total,16767.0,18695.0,20147.0,21250.0,22364.0,23692,25487,26388,27821,27578
Senior Secondary School,Puducherry,Boy,,,,,,11162,11944,12193,12896,12673
Senior Secondary School,Puducherry,Girl,,,,,,12530,13543,14195,14925,14905
Senior Secondary School,Punjab,Total,302584.0,331868.0,290526.0,302086.0,327976.0,344123,343450,451465,376703,442092
Senior Secondary School,Punjab,Boy,,,,,,194696,191847,243947,205418,240054
Senior Secondary School,Punjab,Girl,,,,,,149427,151603,207518,171285,202038
Senior Secondary School,Rajasthan,Total,440332.0,474380.0,545466.0,569637.0,610312.0,635357,709586,803910,1054687,1251170
Senior Secondary School,Rajasthan,Boy,,,,,,433799,478617,535398,679765,798009
Senior Secondary School,Rajasthan,Girl,,,,,,201558,230969,268512,374922,453161
Senior Secondary School,Sikkim,Total,4577.0,6178.0,5744.0,7217.0,7269.0,7227,6945,7799,8416,8416
Senior Secondary School,Sikkim,Boy,,,,,,3639,3362,3722,4077,4077
Senior Secondary School,Sikkim,Girl,,,,,,3588,3583,4077,4339,4339
Senior Secondary School,Tamil Nadu,Total,898429.0,984516.0,1015229.0,1053705.0,1083311.0,1152073,1255511,1109735,1168438,1184232
Senior Secondary School,Tamil Nadu,Boy,,,,,,551378,597058,524170,540980,543814
Senior Secondary School,Tamil Nadu,Girl,,,,,,600695,658453,585565,627458,640418
Senior Secondary School,Tripura,Total,27583.0,29861.0,30708.0,31097.0,32613.0,36679,46993,47193,40739,44473
Senior Secondary School,Tripura,Boy,,,,,,21955,26394,26508,23306,25676
Senior Secondary School,Tripura,Girl,,,,,,14724,20599,20685,17433,18797
Senior Secondary School,Uttar Pradesh,Total,1003861.0,1678046.0,1779404.0,1812250.0,1857372.0,1903264,3607193,3208786,3012332,3214212
Senior Secondary School,Uttar Pradesh,Boy,,,,,,1130307,2122888,1901044,1719258,1904155
Senior Secondary School,Uttar Pradesh,Girl,,,,,,772957,1484305,1307742,1293074,1310057
Senior Secondary School,Uttarakhand,Total,112230.0,143914.0,148823.0,154577.0,180338.0,179418,181350,197945,234309,243545
Senior Secondary School,Uttarakhand,Boy,,,,,,94394,93534,102969,125510,128504
Senior Secondary School,Uttarakhand,Girl,,,,,,85024,87816,94976,108799,115041
Senior Secondary School,West Bengal,Total,588274.0,678797.0,735883.0,731059.0,935626.0,886810,991542,993311,1015344,1216552
Senior Secondary School,West Bengal,Boy,,,,,,530333,572137,573161,570348,654044
Senior Secondary School,West Bengal,Girl,,,,,,356477,419405,420150,444996,562508
