State/UT,Primary/Junior Basic Schools(#) - Total - 2008-09,Primary/Junior Basic Schools(#) - Total - 2009-10,Primary/Junior Basic Schools(#) - Total - 2010-11,Primary/Junior Basic Schools(#) - Women - 2008-09,Primary/Junior Basic Schools(#) - Women - 2009-10,Primary/Junior Basic Schools(#) - Women - 2010-11,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2008-09,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2009-10,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2010-11,Middle/Senior Basic Schools - Total - 2008-09,Middle/Senior Basic Schools - Total - 2009-10,Middle/Senior Basic Schools - Total - 2010-11,Middle/Senior Basic Schools - Women - 2008-09,Middle/Senior Basic Schools - Women - 2009-10,Middle/Senior Basic Schools - Women - 2010-11,Middle/Senior Basic Schools - % age of Trained Teachers - 2008-09,Middle/Senior Basic Schools - % age of Trained Teachers - 2009-10,Middle/Senior Basic Schools - % age of Trained Teachers - 2010-11,High/Post Basic Schools - Total - 2008-09,High/Post Basic Schools - Total - 2009-10,High/Post Basic Schools - Total - 2010-11,High/Post Basic Schools - Women - 2008-09,High/Post Basic Schools - Women - 2009-10,High/Post Basic Schools - Women - 2010-11,High/Post Basic Schools - % age of Trained Teachers - 2008-09,High/Post Basic Schools - % age of Trained Teachers - 2009-10,High/Post Basic Schools - % age of Trained Teachers - 2010-11,Higher Secondary Schools (**) - Total - 2008-09,Higher Secondary Schools (**) - Total - 2009-10,Higher Secondary Schools (**) - Total - 2010-11,Higher Secondary Schools (**) - Women - 2008-09,Higher Secondary Schools (**) - Women - 2009-10,Higher Secondary Schools (**) - Women - 2010-11,Higher Secondary Schools (**) - % age of Trained Teachers - 2008-09,Higher Secondary Schools (**) - % age of Trained Teachers - 2009-10,Higher Secondary Schools (**) - % age of Trained Teachers - 2010-11,Total No. of Teachers in all Schools - Total - 2008-09,Total No. of Teachers in all Schools - Women - 2008-09,Total No. of Teachers in all Schools - Total - 2009-10,Total No. of Teachers in all Schools - Women - 2009-10,Total No. of Teachers in all Schools - Total - 2010-11,Total No. of Teachers in all Schools - Women - 2010-11
Jharkhand,50537.0,50537.0,0.0,18563.0,18563.0,0.0,100.0,100.0,100.0,53800.0,53800.0,0.0,10105.0,10105.0,0.0,100.0,100.0,100.0,9178.0,9178.0,0.0,2700.0,2700.0,0.0,100.0,100.0,100.0,4057.0,4057.0,0.0,1822.0,1822.0,0.0,100.0,100.0,100.0,117572.0,117572.0,33190.0,33190.0,0.0,0.0
Karnataka,62540.0,59457.0,61049.0,30481.0,28883.0,30502.0,100.0,100.0,100.0,214354.0,223272.0,236583.0,120960.0,128109.0,137359.0,100.0,100.0,100.0,99106.0,109503.0,124135.0,43125.0,49992.0,57513.0,100.0,100.0,100.0,23229.0,26622.0,26622.0,7098.0,8416.0,8416.0,100.0,100.0,100.0,399229.0,418854.0,201664.0,215400.0,448389.0,233790.0
Kerala,40850.0,40069.0,39333.0,24405.0,30280.0,29793.0,100.0,100.0,100.0,44726.0,44136.0,43278.0,31186.0,30944.0,30348.0,100.0,100.0,100.0,101932.0,97141.0,47580.0,73012.0,69332.0,36134.0,100.0,100.0,100.0,16770.0,27350.0,96249.0,13352.0,21783.0,65662.0,100.0,100.0,100.0,204278.0,208696.0,141955.0,152339.0,226440.0,161937.0
Madhya Pradesh,292062.0,292062.0,191705.0,90641.0,90641.0,59542.0,90.0,90.0,84.0,142395.0,142395.0,82202.0,30920.0,30920.0,24998.0,90.0,90.0,80.0,42340.0,46948.0,54056.0,16554.0,19010.0,22822.0,76.0,78.0,78.0,62895.0,68353.0,66857.0,23952.0,27773.0,28587.0,79.0,78.0,79.0,539692.0,549758.0,162067.0,168344.0,394820.0,135949.0
Maharashtra,195350.0,199415.0,201539.0,121900.0,122361.0,122789.0,99.0,96.0,99.0,206673.0,205769.0,207455.0,96927.0,96785.0,99295.0,96.0,96.0,96.0,187957.0,282957.0,166656.0,59020.0,89020.0,52431.0,96.0,96.0,96.0,129062.0,15055.0,131356.0,41037.0,5231.0,41820.0,99.0,99.0,99.0,719042.0,703196.0,318884.0,313397.0,707006.0,316335.0
Manipur,7675.0,7667.0,7932.0,2972.0,2959.0,3193.0,36.0,36.0,35.0,8584.0,8597.0,8234.0,3527.0,3536.0,3503.0,35.0,35.0,36.0,8719.0,8750.0,8715.0,3516.0,3530.0,3604.0,42.0,42.0,44.0,2996.0,3006.0,3198.0,1351.0,1366.0,1493.0,38.0,43.0,47.0,27974.0,28020.0,11366.0,11391.0,28079.0,11793.0
Meghalaya,14034.0,14745.0,14763.0,6477.0,9985.0,9992.0,45.0,45.0,45.0,9407.0,9407.0,9407.0,4335.0,5091.0,5091.0,36.0,36.0,36.0,4445.0,4837.0,4837.0,1878.0,2543.0,2543.0,36.0,36.0,36.0,1155.0,1344.0,1341.0,626.0,710.0,713.0,36.0,36.0,36.0,29041.0,30333.0,13316.0,18329.0,30348.0,18339.0
Mizoram,8716.0,8477.0,8310.0,4488.0,4473.0,4357.0,39.0,44.0,42.0,7754.0,7564.0,7824.0,2687.0,2506.0,2607.0,50.0,53.0,51.0,3886.0,3853.0,3870.0,1173.0,1144.0,1138.0,40.0,43.0,43.0,1058.0,1224.0,1224.0,460.0,537.0,522.0,30.0,31.0,34.0,21414.0,21118.0,8808.0,8660.0,21228.0,8624.0
Nagaland,7956.0,7956.0,7956.0,2961.0,2961.0,2691.0,24.0,24.0,24.0,5804.0,5804.0,5804.0,2101.0,2101.0,2101.0,19.0,19.0,19.0,6628.0,6628.0,6628.0,2627.0,2627.0,2627.0,25.0,25.0,25.0,2394.0,2394.0,2394.0,1201.0,1201.0,1201.0,32.0,32.0,32.0,22782.0,22782.0,8890.0,8890.0,22782.0,8620.0
Orissa,117250.0,136064.0,136707.0,45658.0,57306.0,58178.0,88.0,88.0,88.0,44387.0,54707.0,53994.0,13354.0,17863.0,18310.0,91.0,91.0,91.0,63303.0,64967.0,65289.0,15190.0,15757.0,15762.0,92.0,92.0,93.0,22571.0,24303.0,25048.0,5239.0,5842.0,6011.0,100.0,100.0,100.0,247511.0,280041.0,79441.0,96768.0,281038.0,98261.0
